,date,country,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration_sec,sunshine_duration_sec,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
27,2010-01-28 00:00:00+00:00,Malaysia,51.0,29.181,21.681,24.593498,34.51839,25.79968,29.204466,0,0,43228.184,30305.346,1.1,1.1,6.0,7.491114,19.8,268.2901,15.06,3.0447555
28,2010-01-29 00:00:00+00:00,Malaysia,63.0,28.331,21.581,24.045584,33.449593,25.77832,28.919975,0,0,43233.695,36800.16,6.8,6.8,12.0,8.209263,22.319998,315.5728,15.08,2.9594262
29,2010-01-30 00:00:00+00:00,Malaysia,61.0,29.380999,22.331,24.583082,35.837482,26.929167,29.687063,0,0,43239.34,34812.137,6.399999,6.399999,12.0,6.151683,18.72,17.904526,16.66,3.3592865
30,2010-01-31 00:00:00+00:00,Malaysia,63.0,28.181,22.081,24.180998,35.51833,26.856155,29.340807,0,0,43245.11,28791.5,37.3,37.3,15.0,8.435069,20.16,290.85455,14.81,3.0039275
31,2010-02-01 00:00:00+00:00,Malaysia,63.0,25.880999,22.031,23.751833,31.090237,26.576273,28.981508,0,0,43250.992,5368.75,14.299999,14.299999,11.0,4.0249224,14.04,94.89896,7.13,1.4802761
32,2010-02-02 00:00:00+00:00,Malaysia,63.0,29.681,21.980999,24.410164,36.449116,26.072132,29.349464,0,0,43256.992,36608.47,11.700001,11.700001,10.0,8.557102,24.119999,261.91556,17.52,3.5188916
33,2010-02-03 00:00:00+00:00,Malaysia,61.0,29.730999,22.031,24.910166,36.41527,26.482597,30.052706,0,0,43263.094,31893.268,4.6000004,4.6000004,9.0,4.1046314,18.72,21.893724,17.51,3.5713818
34,2010-02-04 00:00:00+00:00,Malaysia,61.0,29.081,22.081,24.741417,35.647095,26.283493,29.751745,0,0,43269.29,38726.11,4.9999995,4.9999995,12.0,7.0911775,20.880001,11.040923,16.84,3.3806381
35,2010-02-05 00:00:00+00:00,Malaysia,61.0,26.130999,20.831,23.174751,30.943222,24.493696,27.816614,0,0,43275.574,12187.107,8.0,8.0,12.0,6.5693827,19.8,165.31119,6.89,1.4274342
36,2010-02-06 00:00:00+00:00,Malaysia,61.0,31.630999,22.630999,25.437246,39.150826,26.876581,30.966478,0,0,43281.945,39366.08,9.1,9.1,10.0,6.489992,25.919998,121.39026,22.67,4.5729322
37,2010-02-07 00:00:00+00:00,Malaysia,63.0,29.031,22.581,24.731003,35.400333,27.483986,30.241568,0,0,43288.387,33854.36,19.300001,19.300001,21.0,6.4096174,22.319998,294.17905,17.31,3.4849858
